node1	label	node2	node1;label	label;label	node2;label
Q1086823	P22	Q345517	'Christopher Lawford'@en	'father'@en	'Peter Lawford'@en
Q1086823	P25	Q432694	'Christopher Lawford'@en	'mother'@en	'Patricia Kennedy Lawford'@en
Q1086823	P26	Q75326809	'Christopher Lawford'@en	'spouse'@en	'Jean Edith Olssen'@en
Q1086823	P3373	Q75326777	'Christopher Lawford'@en	'sibling'@en	'Victoria Lawford'@en
Q1086823	P3373	Q75326779	'Christopher Lawford'@en	'sibling'@en	'Sydney Lawford'@en
Q1086823	P3373	Q75326780	'Christopher Lawford'@en	'sibling'@en	'Robin Lawford'@en
Q1086823	P3448	Q96079835	'Christopher Lawford'@en	'stepparent'@en	'Mary Rowan'@en
Q1086823	P3448	Q96079836	'Christopher Lawford'@en	'stepparent'@en	'Deborah Gould'@en
Q1086823	P3448	Q96079838	'Christopher Lawford'@en	'stepparent'@en	'Patricia Seaton'@en
Q1086823	P40	Q76363382	'Christopher Lawford'@en	'child'@en	'David Christopher Lawford'@en
Q1086823	P40	Q76363384	'Christopher Lawford'@en	'child'@en	'Savannah Rose Lawford'@en
Q1086823	P40	Q76363386	'Christopher Lawford'@en	'child'@en	'Matthew Valentine Lawford'@en
Q11673	P26	Q467912	'Andrew Cuomo'@en	'spouse'@en	'Kerry Kennedy'@en
Q134549	P1290	Q9696	'Ted Kennedy'@en	'godparent'@en	'John F. Kennedy'@en
Q134549	P22	Q313696	'Ted Kennedy'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q134549	P25	Q236540	'Ted Kennedy'@en	'mother'@en	'Rose Kennedy'@en
Q134549	P26	Q441424	'Ted Kennedy'@en	'spouse'@en	'Joan Bennett Kennedy'@en
Q134549	P26	Q7926996	'Ted Kennedy'@en	'spouse'@en	'Victoria Reggie Kennedy'@en
Q134549	P3373	Q25310	'Ted Kennedy'@en	'sibling'@en	'Robert F. Kennedy'@en
Q134549	P3373	Q265595	'Ted Kennedy'@en	'sibling'@en	'Rosemary Kennedy'@en
Q134549	P3373	Q268799	'Ted Kennedy'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q134549	P3373	Q272401	'Ted Kennedy'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q134549	P3373	Q272908	'Ted Kennedy'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q134549	P3373	Q432694	'Ted Kennedy'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q134549	P3373	Q505178	'Ted Kennedy'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q134549	P3373	Q9696	'Ted Kennedy'@en	'sibling'@en	'John F. Kennedy'@en
Q134549	P40	Q2383370	'Ted Kennedy'@en	'child'@en	'Kara Kennedy'@en
Q134549	P40	Q3048622	'Ted Kennedy'@en	'child'@en	'Edward M. Kennedy Jr.'@en
Q134549	P40	Q948920	'Ted Kennedy'@en	'child'@en	'Patrick J. Kennedy'@en
