node1	label	node2
entity	prefix_expansion	"http://www.isi.edu/gaia/entities/"
relation	prefix_expansion	"http://www.isi.edu/gaia/relations/"
event	prefix_expansion	"http://www.isi.edu/gaia/events/"
rdf	prefix_expansion	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
ont	prefix_expansion	"https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#"
rpi	prefix_expansion	"http://www.rpi.edu/"
xml-schema-type	prefix_expansion	"http://www.w3.org/2001/XMLSchema#"
columbia	prefix_expansion	"http://www.columbia.edu/"
isi	prefix_expansion	"http://www.isi.edu/"
isi1	prefix_expansion	"www.isi.edu/"
iris	prefix_expansion	"http://www.usc.edu/AIDA/IRIS/Systems/"
rpi	prefix_expansion	"http://www.rpi.edu/"
rpi1	prefix_expansion	"http://www.rpi.edu"
rpi2	prefix_expansion	"http://www.rpi.edu-projectToSingleton"
ldc	prefix_expansion	"https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#"
